ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Popularity
0Uu9t9mG3QVY20rVTkQebC,0.533,0.818,2,-0.997,1,0.0666,0.00383,0.0292,0.103,0.11,144.822,253384,4,2018,11
3KrnkTF84wu0KF3vqVYgEh,0.326,0.759,7,-5.019,1,0.0599,0.016,0.000878,0.0804,0.0797,154.555,180000,4,2017,47
74InmrreowLCOBNzH9mLB8,0.543,0.978,11,-4.269,0,0.0746,0.000929,0.9,0.115,0.132,137.997,212609,4,2018,32
6fginl3PRIlm984DVF6j9t,0.547,0.866,10,-3.71,1,0.0544,0.133,6.04E-05,0.0775,0.574,150.034,320000,4,2014,27
0ClbEYrLh1d8977AEX2lua,0.387,0.552,11,-7.234,0,0.231,0.393,0,0.148,0.379,175.794,355090,4,2015,19
08UZYm6JKvXgLD2kXdG2ui,0.411,0.881,7,-5.793,0,0.0813,0.0126,2.26E-06,0.367,0.168,149.759,161600,4,2016,16
3Isj85ak2yj4EndfKFGs9x,0.74,0.586,0,-8.244,0,0.0483,0.361,7.24E-06,0.083,0.523,159.994,204129,4,2020,55
6NbR47LKq9i4ZVKzLkYahi,0.676,0.828,10,-8.053,0,0.039,0.00905,0.92,0.0328,0.0396,122.994,390580,4,2019,24
4WgwK3MvmhaniBzNngmn0k,0.502,0.794,7,-6.456,0,0.038,0.299,4.92E-05,0.0898,0.347,149.976,274500,3,2019,31
3ei5MZEZ8dWuZlAIlVrIeP,0.819,0.88,2,-9.123,1,0.121,0.000731,0.495,0.0751,0.706,125.018,370000,4,2019,8
0rvVCg14FBuZAVPuGbYNAu,0.528,0.912,11,-6.063,0,0.0512,0.000478,0.782,0.241,0.484,173.941,339376,4,2014,3
0BEUfPz7XBEWAoWFz2Vhr3,0.663,0.9,11,-2.285,0,0.237,0.000847,0.0687,0.134,0.38,149.938,265600,4,2017,10
4YdRnTnXYwgI48kkzWy6uk,0.667,0.465,1,-10.337,1,0.342,0.471,0,0.101,0.474,133.859,329542,4,2018,59
63nLCuaXvqyjkVQtz7jN0M,0.51,0.972,0,-6.853,1,0.0845,0.000975,0.436,0.401,0.382,137.975,452206,4,2017,4
